"","V1","V2","V3","V4","V5"
"Gene168",10,8,5,4,6
"Gene169",5,5,7,3,4
"Gene170",6,6,5,5,7
"Gene171",5,2,4,5,7
"Gene172",2,2,5,10,4
"Gene173",1,5,5,4,5
"Gene174",3,6,6,6,1
"Gene175",5,7,5,4,7
"Gene176",5,8,4,2,5
"Gene177",5,3,6,5,10
"Gene178",9,4,5,5,6
"Gene179",6,1,13,3,7
"Gene180",5,5,4,3,5
"Gene181",3,5,9,4,3
"Gene182",3,7,8,7,3
"Gene183",6,5,6,9,1
"Gene184",5,8,3,4,6
"Gene185",6,7,6,8,10
"Gene186",5,3,7,6,5
"Gene187",6,5,6,6,5
"Gene188",3,5,4,7,9
"Gene189",2,2,3,9,7
"Gene190",10,3,2,2,8
"Gene191",6,5,3,2,6
"Gene192",3,5,7,4,4
"Gene193",4,4,2,6,3
"Gene194",1,4,3,3,6
"Gene195",2,4,5,4,5
"Gene196",3,5,6,5,1
"Gene197",3,5,1,2,1
"Gene198",2,3,3,9,4
"Gene199",6,3,3,4,4
"Gene200",9,9,3,10,6
